date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:47	3093/3093	---M-Z	200	added ('OK')	application/javascript	etag:W/%2252419c825f721d75b17cd914e715f343%22	https://static.parastorage.com/services/wix-thunderbolt/dist/siteScrollBlocker.db6240b5.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/siteScrollBlocker.db6240b5.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:48	7004/7004	---M-Z	200	added ('OK')	application/javascript	etag:W/%2221e1f489e5904e18c71f83969b33041b%22	https://static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.166b7666.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/tpaCommons.166b7666.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:49	728/728	---M-Z	200	added ('OK')	application/javascript	etag:W/%225d0c998f98059ae741c3046c6364dde0%22	https://static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.bd322e71.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/windowMessageRegistrar.bd322e71.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:49	17345/17345	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c1f05c1b25a0f5390a64fb33f66e7f20%22	https://static.parastorage.com/services/wix-thunderbolt/dist/platform.c945af73.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/platform.c945af73.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:51	122769/122769	---MCZ	200	added ('OK')	application/javascript	etag:W/%228f1f95d88c02d4b6ea60dc316997a95c%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendors~vendor-react-dom.74e2a881.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/vendors_vendor-react-dom.74e2a881.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:52	387/387	---M--	200	added ('OK')	application/javascript	etag:%22c5baea03d78e8b3cfd166a8c4e22eeca%22	https://static.parastorage.com/services/wix-thunderbolt/dist/vendor-react-dom.a93cbf3e.chunk.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-thunderbolt/dist/vendor-react-dom.a93cbf3e.chunk.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:54	132184/132184	---M-Z	200	added ('OK')	application/javascript	etag:W/%228fe145399d6d15323a2e9f74c565983d%22	https://static.parastorage.com/services/forms-viewer/1.348.0/viewer-app.bundle.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/forms-viewer/1.348.0/viewer-app.bundle.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:54	58345/58345	---M-Z	200	added ('OK')	application/javascript	etag:W/%22eaf4d6f1aa5a87a1ade2a259383c7664%22	https://static.parastorage.com/services/editor-elements/dist/componentSdks.ea35c086.bundle.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/componentSdks.ea35c086.bundle.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:55	10276/10276	---M-Z	200	added ('OK')	application/javascript	etag:W/%22bb126b6054c4d9c61702d224b8344943%22	https://static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/tag-manager-client/1.282.0/siteTags.bundle.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:55	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Jan%202021%2015:17:54%20GMT	https://marceloamores61.wixsite.com/	C:/Users/MARCE/WEB/marce2/marceloamores61.wixsite.com/index.html	(from https://marceloamores61.wixsite.com/marce)
10:17:57	153407/153407	---M-Z	200	added ('OK')	application/javascript	etag:W/%22853e79eeff7d99fa6763f34d823859ae%22	https://static.parastorage.com/services/editor-elements/dist/thunderboltElements.b1adc0d6.bundle.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/editor-elements/dist/thunderboltElements.b1adc0d6.bundle.min.js	(from https://marceloamores61.wixsite.com/marce)
10:17:57	24661/24661	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d03f6078398ae3f6ab7405fd9d8dd9f4%22	https://static.parastorage.com/services/wix-perf-measure/1.334.0/wix-perf-measure.bundle.min.js	C:/Users/MARCE/WEB/marce2/static.parastorage.com/services/wix-perf-measure/1.334.0/wix-perf-measure.bundle.min.js	(from https://marceloamores61.wixsite.com/marce)
